question,expected_source_substring
"如何安装并启动项目？","安装步骤"
"如何增量更新文档索引？","增量"
"如何配置阿里云 PyPI 镜像？","mirrors.aliyun.com"
"如何开放端口 8000？","8000"
"如何查看索引文件大小？","docstore.pkl"
"Query Rewriting 有何作用？","改写"
"如何触发拒答？","置信度"
"如何访问API文档？","/docs"
"如何查看日志？","logs/"
"如何设置重排序？","Cross-Encoder"
"如何在前端显示引用？","snippet"
"评测中 Hit@K 如何计算？","命中"
"如何绘制评测曲线？","matplotlib"
"如何安排 crontab？","03:10"
"如何设置向量模型？","EMBEDDING_MODEL"
"如何设置融合权重？","FUSION_WEIGHT"
"如何快速启动？","run.sh"
"PDF 扫描件怎么办？","OCR"
"如何检查端口是否监听？","ss -ltnp"
"faiss 安装失败怎么办？","faiss"
